id,product_A_sold_in_the_past,product_B_sold_in_the_past,product_A_recommended,product_A,product_C,product_D,cust_hitrate,cust_interactions,cust_contracts,opp_month,opp_old,competitor_Z,competitor_X,competitor_Y,cust_in_iberia,target_variable
1,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.12643,0.30731,-0.34997,-1.41464,-0.28185,0,0,0,1,1
2,-0.25992,-0.28599,-0.1097,-0.0891,-0.02372,-0.04247,0.42465,3.26349,0.92184,-1.11923,3.54793,1,0,0,0,0
3,-0.25992,-0.18998,-0.1097,-0.0891,-0.02372,-0.04247,0.72559,1.29633,-0.34997,0.65323,-0.28185,0,0,0,0,0
4,0.65945,3.35306,-0.1097,-0.0891,-0.02372,-0.04247,1.55091,-0.6817,3.46544,1.24404,-0.28185,0,0,0,1,0
5,-0.25992,-0.24623,-0.1097,-0.0891,-0.02372,-0.04247,-0.50193,0.6551,-0.03202,1.53945,-0.28185,1,0,0,0,0
6,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.37336,1.28546,-0.34997,-0.233,-0.28185,0,0,0,1,1
7,0.28136,2.25596,-0.1097,-0.0891,-0.02372,-0.04247,-0.76732,3.22002,-0.34997,-1.41464,3.54793,1,0,1,0,0
8,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.7108,-0.6817,-0.34997,-1.41464,-0.28185,0,0,0,1,1
9,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.42123,-0.42086,-0.34997,0.35782,-0.28185,0,0,1,1,1
10,-0.21965,-0.01507,0.59619,4.78455,-0.02372,-0.04247,1.29971,1.08983,-0.34997,-0.233,-0.28185,0,0,1,1,1
11,-0.25992,-0.18594,-0.1097,-0.0891,-0.02372,-0.04247,-0.73938,0.24211,-0.34997,0.94864,-0.28185,0,0,1,1,1
12,-0.25992,2.25232,-0.1097,-0.0891,-0.02372,-0.04247,-0.01657,2.03537,-0.34997,-1.11923,-0.28185,1,0,1,1,0
13,-0.0586,-0.24182,-0.1097,-0.0891,-0.02372,-0.04247,-0.8269,0.85073,-0.34997,1.53945,-0.28185,0,0,0,1,0
14,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.70408,-0.6817,-0.34997,-1.41464,-0.28185,0,0,0,1,1
15,-0.25992,-0.18026,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.6817,-0.34997,-0.233,-0.28185,0,0,0,0,1
